word,main_word
अर्थव्यव्हारासंबंधीचे,अर्थव्यव्हार
असणाऱ्यांनी,असणाऱ्
असल्यासारखा,असल्
माट्यांच्या,माट्
मातापित्याच्या,मातापित्
मातीचं,माती
मृतदेहांच्या,मृतदेह
मृत्यूनंतर्च्या,मृत्यू
मूलत्त्त्वांतून,मूलत्त्त्व
मूल्यामूल्यविवेकाला,मूल्य
मूल्यामूल्यविवेकाला,मूल्यामूल्यविवेक
मूल्यनिर्मितीवरून,मूल्यनिर्मिती
मूर्खप्णाचेच,मूर्खप्णा
मऑड्यूलेशन्स,मऑड्यूलेशन
मऑडर्नम्ध्येच,मऑडर्न
मऑरिशम्धील,मऑरिशम
मघापासून,मघा
मख्खप्णे,मख्ख
मंडळातर्फे,मंडळ
मंडळीसारखी,मंडळी
मंदिरप्रवेशाच्या,मंदिरप्रवेश
मध्लाच,मध्
मधुकर्ला,मधुकर्
मध्यम्वर्गीय,मध्यम्वर्गीय
मध्यम्वर्गीय,मध्य
मध्ये,मध्ये
महाभारत्काळात,महाभारत्
महापुरूषांना , महापुरूष
महाराष्ट्राचेच , महाराष्ट्र
महाराष्ट्रदेशाची , महाराष्ट्र
महाविद्यालये , महाविद्यालय
महिलानांही , महिला
महिन्यामहिन्याचे , महिन्य
मह्त्प्रयासाने , मह्त्प्रयास
मज्बुतीशी , मजबुत
मज्बुतीवरून , मज्बुत
मज्जातंतूवर् , मज्जातंतू
मज्ल्याइतके , मज्ल्या
मज्ल्या , मजला
मक्रेतील , मक्र
मनापासूनची , मन
मनाविरूद्धचा , मन
मन्ममोकळेपणे,मन्ममोकळ
मनोरंजनाचे , मनोरंजन
मन्सोक्तप्णे,मन्सोक्त
मनुष्याजव्ळ,मनुष्य
मनुष्यब्ळाची,मनुष्यब्ळ
मराठीच्या,मराठी
मर्जीतल्या,मर्जी
मर्यादेपलीकडे , मर्यादा
मर्यादेपलीकडे,मर्यादे
मद्यापानाचा,मद्यापान
मद्यापानाचा,मद्य
मॅट्रिकवाल्यांची,मॅट्रिक
मेंदूचीच,मेंदू
मेफिलीतल्या,मेफिली
मेहन्तीतून,मेहन्त
मेलांवरून,मेल
मेल्यापेक्षा,मेल्या
मेरीवर्,मेरी
मेत्रीसाठी,मेत्री
मेत्रीसाठी,मेत्र
मेत्रिणीपर्यंत,मेत्रिण
मेदाने,मेदान
म्हातारप्णाने,म्हातारप्ण
म्हातारप्णाने,म्हातार
म्हणालेही,म्हण
म्हण्णाऱ्यांचा,म्हण्
म्हण्ताक्षणी,म्हण्ता
मिळाल्याबद्दल्ही,मिळाल्
मिळण्यासाठीही,मिळण्
मिनिटांवर्,मिनिट
मिसळ्लेल्या,मिसळ्ल
मोझेसबाबांच्या,मोझेसबाबा
मोडणार,मोडण
मोहक्तेत,मोहक्
मोटारसायक्लने,मोटारसायक्ल
मोटारसायक्लने,मोटार
मुख्याध्यप्कही,मुख्याध्यप्क
मुलाकडे,मुल
मुलीची,मुली
मुसल्मानांसाठी,मुसल्मान
म्युन्सीपालीटीकडून,म्युन्सीपालीटी
नाटकाविषयी,नाटक
रविचे,रवि
रवींद्रनाथांसारखाच,रवींद्रनाथ
रत्नागिरीसारख्या,रत्नागिरी
रेंगाळला,रेंगाळ
रोजच्यारोज,रोज
सांभाळण्याबाबत्,सांभाळ
सांगायच्या,सांग
सांगितल्याप्रमाणे,सांग
साधनामार्गावरील,साधना
साहित्यातला,साहित्य
साकारण्यासाठी,साकार
साक्षात्काराने,साक्षात्कार
सालातली,साल
सापड्ली,सापड्
साऱ्यांच्याच,साऱ्
सासूबाईंशीबी,सासूबाईं
सावर्ण्यासाठीच,सावर्ण्य
सावर्ण्यासाठीच,सावर्ण्
सावर्ण्यासाठीच,सावर्
सातवीपर्यत्,सातवी
सातज्णांना,सात
सीमाताईंनाच,सीमा
सीमाताईंनाच,सीमाताईं
सौदंर्याचे,सौदंर्य
